,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
29705,TPC-DI,prospect_both_0_30_ac4_ev,View-Unionable,68,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'AddressLine1', 'City', 'NetWorth', 'Country', 'Employer', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine2', 'PostalCode', 'State', 'Phone']","['prospect_AgeID', 'prospect_AddrL1', 'prospect_Inc', 'prospect_NeWor', 'prospect_Em', 'prospect_CrRat', 'prospect_Ci', 'prospect_A', 'prospect_NuCreCar', 'prospect_NumCa', 'prospect_NuChil', 'prospect_MarSta', 'prospect_OORF', 'prospect_Coun']",0.29,0.17,1.0,N4
29714,TPC-DI,prospect_both_0_1_ac2_ev,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['AgID', 'Ph', 'NeWor', 'Inc', 'Empl', 'CreRa', 'Ag', 'NumCreCar', 'NuChi', 'NumC', 'MaSta', 'OwOReFl']",0.4,1.0,0.25,N2
29728,TPC-DI,prospect_both_0_1_ec_ev,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['AgencyID', 'Phone', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'Age', 'NumberCreditCards', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'OwnOrRentFlag']",0.33,1.0,0.2,N0
29747,TPC-DI,prospect_both_0_30_ac5_ev,View-Unionable,68,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NetWorth', 'LastName', 'AddressLine1', 'NumberCars', 'OwnOrRentFlag', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_lstnm', 'prospect_gncd', 'prospect_phn', 'prospect_ddrssln1', 'prospect_ncm', 'prospect_ntwrth', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_g', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_mrtlstts', 'prospect_nmbrchldrn', 'prospect_wnrrntflg']",0.25,0.17,0.5,N5
29754,TPC-DI,prospect_both_0_70_ac1_av,View-Unionable,68,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","['AgencyID', 'Phone', 'NumberCars', 'CreditRating', 'NumberChildren', 'FirstName', 'City', 'NetWorth', 'MiddleInitial', 'AddressLine2', 'Gender', 'LastName', 'AddressLine1', 'State', 'OwnOrRentFlag', 'PostalCode', 'Country', 'Income']","['prospect_FirstName', 'prospect_LastName', 'prospect_AgencyID', 'prospect_AddressLine2', 'prospect_Phone', 'prospect_AddressLine1', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_MiddleInitial', 'prospect_Gender', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",0.81,0.73,0.92,N1
29755,TPC-DI,prospect_both_0_30_ec_av,View-Unionable,68,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]","['AgencyID', 'Income', 'FirstName', 'AddressLine1', 'NumberCreditCards', 'Age', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['FirstName', 'AgencyID', 'Phone', 'AddressLine1', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'Age', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag']",0.77,0.83,0.71,N0
29757,TPC-DI,prospect_both_0_1_ac1_av,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgencyID', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_MaritalStatus', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_OwnOrRentFlag']",0.0,0.0,0.0,N1
29758,TPC-DI,prospect_both_0_50_ac3_ev,View-Unionable,68,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'OwnOrRentFlag', 'Phone', 'Employer', 'MiddleInitial', 'PostalCode', 'Gender', 'NumberCars', 'State', 'Income', 'MaritalStatus', 'LastName', 'FirstName', 'AddressLine1', 'AddressLine2', 'City']","['gncd', 'pstlcd', 'phn', 'ntwrth', 'ncm', 'mplr', 'crdtrtng', 'g', 'stt', 'mddlntl', 'gndr', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg', 'cntr']",0.56,0.45,0.71,N3
29764,TPC-DI,prospect_both_0_70_ac4_av,View-Unionable,68,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'MaritalStatus', 'CreditRating', 'Country', 'Income', 'State', 'OwnOrRentFlag', 'FirstName', 'LastName', 'MiddleInitial', 'Phone', 'NumberChildren', 'Age', 'City', 'AddressLine1', 'Gender', 'AddressLine2', 'PostalCode']","['prospect_LaNa', 'prospect_FiNa', 'prospect_AgID', 'prospect_Pho', 'prospect_AddLi1', 'prospect_In', 'prospect_NeWor', 'prospect_Em', 'prospect_CreRa', 'prospect_Ci', 'prospect_Ag', 'prospect_St', 'prospect_MidIn', 'prospect_NuCreCar', 'prospect_NuC', 'prospect_MaSt', 'prospect_NuChil', 'prospect_OORFl', 'prospect_Co']",0.5,0.33,1.0,N4
29778,TPC-DI,prospect_both_0_70_ec_ev,View-Unionable,68,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'MiddleInitial', 'AddressLine1', 'MaritalStatus', 'NetWorth', 'LastName', 'FirstName', 'Employer', 'Age', 'NumberChildren', 'PostalCode', 'Gender', 'Income', 'AddressLine2', 'Country', 'City', 'State', 'Phone']","['LastName', 'AgencyID', 'FirstName', 'PostalCode', 'NetWorth', 'AddressLine2', 'Income', 'AddressLine1', 'Employer', 'CreditRating', 'Age', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.85,0.93,0.78,N0
29798,TPC-DI,prospect_both_0_1_ac3_ev,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['gncd', 'phn', 'ncm', 'ntwrth', 'mplr', 'crdtrtng', 'g', 'nmbrcrdtcrds', 'nmbrcrs', 'mrtlstts', 'nmbrchldrn', 'wnrrntflg']",0.0,0.0,0.0,N3
29806,TPC-DI,prospect_both_0_50_ac2_ev,View-Unionable,68,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]","['AgencyID', 'CreditRating', 'AddressLine1', 'MaritalStatus', 'NetWorth', 'LastName', 'MiddleInitial', 'Age', 'FirstName', 'PostalCode', 'OwnOrRentFlag', 'Gender', 'AddressLine2', 'City', 'State', 'Country']","['FiNa', 'LNa', 'AgeID', 'PosCo', 'Ph', 'Inc', 'AdLi1', 'NeWor', 'Empl', 'CreRa', 'A', 'MidIni', 'NuCreCar', 'NumChil', 'NuC', 'MarSt', 'OwORFl']",0.53,0.45,0.62,N2
29808,TPC-DI,prospect_both_0_70_ac2_ev,View-Unionable,68,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1]","['AgencyID', 'MiddleInitial', 'CreditRating', 'State', 'LastName', 'Income', 'NumberCreditCards', 'City', 'AddressLine2', 'MaritalStatus', 'NumberChildren', 'Age', 'Employer', 'Country', 'AddressLine1', 'FirstName', 'Gender', 'PostalCode']","['AgID', 'LNa', 'AddrL1', 'Ph', 'Inc', 'AdLi2', 'NeWo', 'Emp', 'CrRat', 'Ci', 'Ag', 'Sta', 'MidInit', 'NuCreCar', 'NumCa', 'MaSta', 'NuCh', 'OORF', 'Coun']",0.72,0.6,0.9,N2
29812,TPC-DI,prospect_both_0_50_ac4_ev,View-Unionable,68,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Country', 'City', 'Age', 'State', 'NetWorth', 'NumberCreditCards', 'Employer', 'Income', 'Phone', 'OwnOrRentFlag', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1']","['prospect_AgeID', 'prospect_PoC', 'prospect_AddrL2', 'prospect_Ph', 'prospect_NeWor', 'prospect_In', 'prospect_Em', 'prospect_CrRat', 'prospect_C', 'prospect_Ag', 'prospect_St', 'prospect_NumCreCar', 'prospect_NuChi', 'prospect_MaSta', 'prospect_NuCa', 'prospect_OwORF', 'prospect_Co']",0.71,0.55,1.0,N4
29816,TPC-DI,prospect_both_0_50_ac1_av,View-Unionable,68,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]","['AgencyID', 'LastName', 'State', 'Phone', 'Country', 'OwnOrRentFlag', 'FirstName', 'PostalCode', 'AddressLine1', 'NumberChildren', 'AddressLine2', 'MiddleInitial', 'Gender', 'City', 'Income', 'NumberCars']","['prospect_AgencyID', 'prospect_LastName', 'prospect_FirstName', 'prospect_PostalCode', 'prospect_Phone', 'prospect_AddressLine1', 'prospect_AddressLine2', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_State', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.7,0.64,0.78,N1
29820,TPC-DI,prospect_both_0_50_ac4_av,View-Unionable,68,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","['AgencyID', 'AddressLine1', 'Gender', 'MiddleInitial', 'Phone', 'Income', 'NetWorth', 'City', 'FirstName', 'PostalCode', 'Employer', 'LastName', 'AddressLine2', 'State', 'Country', 'NumberCars']","['prospect_AgeID', 'prospect_FiN', 'prospect_PosC', 'prospect_Pho', 'prospect_AdL1', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CrRa', 'prospect_C', 'prospect_Ag', 'prospect_MidIn', 'prospect_Ge', 'prospect_NumCreCa', 'prospect_NumChil', 'prospect_MaSta', 'prospect_OOReFl']",0.53,0.36,1.0,N4
29828,TPC-DI,prospect_both_0_30_ac3_av,View-Unionable,68,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'MiddleInitial', 'Employer', 'LastName', 'OwnOrRentFlag', 'Country', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['lstnm', 'gncd', 'ntwrth', 'ncm', 'mplr', 'crdtrtng', 'g', 'mddlntl', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg', 'cntr']",0.0,0.0,0.0,N3
29831,TPC-DI,prospect_both_0_50_ec_ev,View-Unionable,68,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'AddressLine1', 'FirstName', 'MaritalStatus', 'NetWorth', 'OwnOrRentFlag', 'State', 'NumberChildren', 'Country', 'PostalCode', 'NumberCreditCards', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine2', 'City']","['AgencyID', 'FirstName', 'AddressLine1', 'Phone', 'PostalCode', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'Age', 'State', 'NumberCreditCards', 'NumberCars', 'MaritalStatus', 'NumberChildren', 'OwnOrRentFlag', 'Country']",0.87,0.91,0.83,N0
29848,TPC-DI,prospect_both_0_30_ac1_ev,View-Unionable,68,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NumberCreditCards', 'CreditRating', 'Employer', 'NetWorth', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State']","['prospect_AgencyID', 'prospect_LastName', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.44,0.33,0.67,N1
29857,TPC-DI,prospect_both_0_1_ac4_ev,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgeID', 'prospect_Pho', 'prospect_NWo', 'prospect_In', 'prospect_Empl', 'prospect_CreRat', 'prospect_A', 'prospect_NumCreCar', 'prospect_NuCh', 'prospect_NuCa', 'prospect_MariSt', 'prospect_OOReF']",0.0,0.0,0.0,N4
29860,TPC-DI,prospect_both_0_50_ac1_ev,View-Unionable,68,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]","['AgencyID', 'Age', 'Income', 'AddressLine1', 'CreditRating', 'NumberChildren', 'Country', 'AddressLine2', 'NetWorth', 'OwnOrRentFlag', 'Employer', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'PostalCode']","['prospect_AgencyID', 'prospect_NetWorth', 'prospect_Phone', 'prospect_AddressLine2', 'prospect_Income', 'prospect_AddressLine1', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.67,0.64,0.7,N1
29868,TPC-DI,prospect_both_0_1_ac3_av,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['gncd', 'phn', 'ncm', 'ntwrth', 'mplr', 'crdtrtng', 'g', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg']",0.0,0.0,0.0,N3
29878,TPC-DI,prospect_both_0_1_ec_av,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['AgencyID', 'Phone', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'Age', 'NumberCreditCards', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'OwnOrRentFlag']",0.33,1.0,0.2,N0
29903,TPC-DI,prospect_both_0_50_ac2_av,View-Unionable,68,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","['AgencyID', 'Income', 'Country', 'OwnOrRentFlag', 'State', 'MiddleInitial', 'NumberCars', 'LastName', 'Phone', 'MaritalStatus', 'CreditRating', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode']","['LNa', 'AgID', 'Ph', 'NWor', 'Inc', 'Empl', 'CrRat', 'C', 'A', 'Sta', 'MidIn', 'NuCreCar', 'NuChil', 'NumCa', 'MarSta', 'OwOReF', 'Co']",0.5,0.45,0.56,N2
29908,TPC-DI,prospect_both_0_30_ac2_ev,View-Unionable,68,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","['AgencyID', 'CreditRating', 'AddressLine2', 'Employer', 'FirstName', 'MiddleInitial', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'City', 'State', 'Country', 'Phone']","['AgeID', 'FiNa', 'AddL2', 'NWo', 'Inc', 'Empl', 'CreRa', 'A', 'MiIn', 'NumCreCar', 'NuChil', 'MaSta', 'NumCa', 'OOReFl']",0.4,0.33,0.5,N2
29910,TPC-DI,prospect_both_0_50_ac3_av,View-Unionable,68,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Income', 'MaritalStatus', 'MiddleInitial', 'NumberChildren', 'Employer', 'NetWorth', 'AddressLine1', 'CreditRating', 'NumberCreditCards', 'Country', 'LastName', 'FirstName', 'Gender', 'AddressLine2', 'PostalCode']","['gncd', 'phn', 'ntwrth', 'ddrssln1', 'ncm', 'mplr', 'crdtrtng', 'ct', 'g', 'stt', 'mddlntl', 'nmbrcrdtcrds', 'nmbrchldrn', 'mrtlstts', 'nmbrcrs', 'wnrrntflg', 'cntr']",0.25,0.18,0.4,N3
29914,TPC-DI,prospect_both_0_30_ec_av,View-Unionable,68,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","['AgencyID', 'Income', 'FirstName', 'AddressLine1', 'NumberCreditCards', 'Age', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['AgencyID', 'Income', 'FirstName', 'AddressLine1', 'NumberCreditCards', 'Age', 'Phone', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'CreditRating', 'OwnOrRentFlag', 'Employer', 'NetWorth']",0.77,0.83,0.71,N0
29922,TPC-DI,prospect_both_0_30_ac5_av,View-Unionable,68,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'State', 'Age', 'Gender', 'City', 'LastName', 'FirstName', 'MiddleInitial', 'AddressLine1', 'AddressLine2', 'PostalCode', 'Country', 'Phone']","['prospect_gncd', 'prospect_ncm', 'prospect_ntwrth', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.5,0.33,1.0,N5
29931,TPC-DI,prospect_both_0_70_ac4_ev,View-Unionable,68,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Employer', 'AddressLine2', 'Age', 'Income', 'LastName', 'OwnOrRentFlag', 'Phone', 'MiddleInitial', 'MaritalStatus', 'Country', 'NumberCars', 'AddressLine1', 'NumberChildren', 'CreditRating', 'FirstName', 'Gender', 'PostalCode']","['prospect_LaN', 'prospect_AgeID', 'prospect_AddLi2', 'prospect_Ph', 'prospect_AdLi1', 'prospect_NWor', 'prospect_In', 'prospect_Em', 'prospect_CreRat', 'prospect_Ci', 'prospect_Ag', 'prospect_St', 'prospect_MidIn', 'prospect_NuCreCa', 'prospect_NuCh', 'prospect_NuCa', 'prospect_MariSt', 'prospect_OwOReFl', 'prospect_Co']",0.33,0.2,1.0,N4
29942,TPC-DI,prospect_both_0_30_ac2_av,View-Unionable,68,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]","['AgencyID', 'Employer', 'Country', 'MiddleInitial', 'Age', 'LastName', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['AgID', 'LaN', 'In', 'NWo', 'Empl', 'CreRa', 'Ag', 'MidInit', 'NuCreCar', 'NuChil', 'NuC', 'MaSt', 'OOReFl', 'Coun']",0.67,0.83,0.56,N2
29950,TPC-DI,prospect_both_0_50_ac5_av,View-Unionable,68,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'City', 'AddressLine2', 'CreditRating', 'OwnOrRentFlag', 'Income', 'FirstName', 'NumberChildren', 'NetWorth', 'MiddleInitial', 'Employer', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'State']","['prospect_gncd', 'prospect_frstnm', 'prospect_phn', 'prospect_ddrssln2', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_mddlntl', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_nmbrcrs', 'prospect_wnrrntflg', 'prospect_cntr']",0.4,0.27,0.75,N5
29952,TPC-DI,prospect_both_0_1_ac4_av,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgID', 'prospect_Pho', 'prospect_NWo', 'prospect_In', 'prospect_Empl', 'prospect_CrRat', 'prospect_A', 'prospect_NumCrCa', 'prospect_NumChil', 'prospect_MariSt', 'prospect_NumC', 'prospect_OORFl']",0.67,1.0,0.5,N4
29970,TPC-DI,prospect_both_0_70_ac2_av,View-Unionable,68,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]","['AgencyID', 'State', 'NumberChildren', 'OwnOrRentFlag', 'Income', 'PostalCode', 'Country', 'AddressLine2', 'MiddleInitial', 'AddressLine1', 'MaritalStatus', 'NumberCars', 'NetWorth', 'LastName', 'Employer', 'FirstName', 'Gender', 'City']","['AgID', 'LN', 'AdL2', 'PoC', 'Ph', 'Inc', 'AddrL1', 'NWor', 'Em', 'CreRat', 'A', 'St', 'MiIni', 'NumCreCar', 'NumC', 'NuCh', 'MarSt', 'OwOReFl', 'Co']",0.69,0.6,0.82,N2
29981,TPC-DI,prospect_both_0_1_ac5_av,View-Unionable,68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_gncd', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_g', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.0,0.0,0.0,N5
29999,TPC-DI,prospect_both_0_70_ac3_av,View-Unionable,68,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'CreditRating', 'OwnOrRentFlag', 'NumberCreditCards', 'AddressLine1', 'PostalCode', 'Income', 'FirstName', 'Employer', 'Gender', 'NumberCars', 'State', 'Age', 'MaritalStatus', 'LastName', 'MiddleInitial', 'AddressLine2']","['gncd', 'frstnm', 'phn', 'pstlcd', 'ddrssln1', 'ncm', 'ntwrth', 'mplr', 'crdtrtng', 'ct', 'g', 'stt', 'gndr', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg', 'cntr']",0.32,0.2,0.75,N3
